Event ID,Event Name,Year,Country,Region,Status,Submitter,Created At,Updated At,Event Date,Start Date,End Date,Date Comments,Quarantine Start,Quarantine End,Additional Date Info,Latitude,Longitude,Location Description,Original Grid Code,Monitoring Grids,Additional Location Info,Monitoring Programme?,Programme Name,Occurred Before?,Occurred Before Details,Water Discoloration,High Phytoplankton,Seafood Toxin,Mass Mortality,Foam/Mucilage,Freshwater,Other Effect,Other Effect Details,Humans Affected,Natural Fish Affected,Aquaculture Fish Affected,Shellfish Affected,Birds Affected,Marine Mammals Affected,Plankton Affected,Benthic Life Affected,Seaweed Affected,Other Terrestrial Affected,Impact Comments,Terrestrial Comments,Toxin Detected?,Toxicity Range,Unexplained Toxicity,Toxicity Comments,Transvectors,Causative Species,Causative Species Details,Associated Species,Associated Species Details,Syndromes,Toxins Found,Assay Species Tested,Assay Toxins,Assay Concentrations,Assay Methods,Chlorophyll Analysis,Additional Algae Info,Weather Conditions,Wind Direction,Wind Velocity,Water Temp,Salinity,Oxygen Content,Oxygen Saturation,Turbidity,Secchi Disc,Current Velocity,Advected?,In Situ?,Advected Info,Stratification Info,Nutrients,Additional Env Info,Additional Harmful Effect Info,Additional Bloom Info,Management Decision,Economic Losses,References,Contacts
14816,NO-26-009,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,,2026-04-13,2026-04-27,,,,,58.4245,8.7568,"Flødevigen, Arendal",,NO-11,,No,,,,No,Yes,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,8080 µg/kg,Yes,,Mytulis edulis,,,,,PSP,,,,,,,,,,,,,,,,,,,,0-3 m,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14811,NO-26-004,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-05-18,2026-05-18,2026-04-13,2026-04-13,2026-04-27,,,,,59.02,10.42,"Børstadbukta, Larvik",,NO-12,,No,,,,No,Yes,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,Yes,216 µg/kg DSP and 560 µg/kg PSP,Yes,,,Dinophysis acuminata; Dinophysis norvegica,Dinophysis acuminata [160 cells/L] (week 18); Dinophysis norvegica [160 cells/L] (week 18),,,DSP; PSP,,Dinophysis,,216 µg/kg,,,,,,,,,,,,,,,,0-3m,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,None,,Mona Ring Kleiven
14820,NO-26-013,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,2026-04-27,2026-04-27,2026-05-11,,,,,59.808094,5.093005,"Rogøysund, Bømlo",,NO-09,,No,,,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,499 µg/kg,Yes,,Mytulis edulis,,,,,PSP,,,,,,,,,,,,,,,,,,,,,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14808,NO-26-001,2026,NORWAY,,Submitted,mona.ring.kleiven@hi.no,2026-04-28,2026-05-05,2026-07-28,2026-03-16,2026-04-04,,,,Peak 27 th of March,57.82,8.2,"Flødevigen, Arendal",,NO-11,,No,,,,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,,,No,,No,,,,,,,,,,,,,,16.03.26-04.04.26,,,,,,,,,,,,,,,,,Local fish farms warned. They stopped feeding and moved fish.,,Fish farms contacted,Yes.,,"Kleiven, Mona Ring"
14815,NO-26-008,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,,2026-06-01,2026-06-08,,,,,61.88,4.26,"Breidvika, Namsos",,NO-08,,No,,,,No,Yes,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,No,No,,,Dinophysis acuminata,Dinophysis acuminata [2160 cells/L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14793,PHL-26-001,2026,PHILIPPINES,,Approved,,2026-03-11,,2026-01-15,2026-01-15,,,,,,11.2242,125.5655,Matarinao Bay in Eastern Samar,,PHL-14,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pyrodinium bahamense var. compressum,Pyrodinium bahamense var. compressum,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14805,PHL-26-013,2026,PHILIPPINES,,Approved,,2026-03-11,,2026-02-26,2026-02-26,,,,,,7.6021,123.0579,"Dumanquillas & Tantarang Bay, Zamboanga del sur",,PHL-18,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pyrodinium bahamense var. compressum,Pyrodinium bahamense var. compressum,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14794,PHL-26-002,2026,PHILIPPINES,HANA,Approved,,2026-03-11,,2026-01-15,2026-01-15,,,,,,16.357,119.9323,Coastal waters of Bolinao and Anda in Pangasinan,,PHL-1,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,"Pseudo-nitzschia abrensis PÃ©rez-Aicua & Orive, 2013","Pseudo-nitzschia abrensis PÃ©rez-Aicua & Orive, 2013",Alexandrium sp.,Alexandrium sp.,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14795,PHL-26-003,2026,PHILIPPINES,,Approved,,2026-03-11,,2026-01-15,2026-01-15,,,,,,7.6021,123.0579,Tantanang and Dumanquillas Bay,,PHL-18,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pyrodinium bahamense var. compressum,Pyrodinium bahamense var. compressum,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14796,PHL-26-004,2026,PHILIPPINES,,Approved,,2026-03-11,,2026-01-29,2026-01-29,,,,,,7.6021,123.0579,Dumanquillas & Tantanang Bay,,PHL-18,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pyrodinium bahamense Plate 1906 var. Bahamense,Pyrodinium bahamense Plate 1906 var. Bahamense,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14797,PHL-26-005,2026,PHILIPPINES,HANA,Approved,,2026-03-11,,2026-01-29,2026-01-29,,,,,,16.357,119.9323,Bolinao & Anda Bay Pangasinan,,PHL-1,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,"Pseudo-nitzschia abrensis PÃ©rez-Aicua & Orive, 2013","Pseudo-nitzschia abrensis PÃ©rez-Aicua & Orive, 2013",,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14798,PHL-26-006,2026,PHILIPPINES,,Approved,,2026-03-11,,2026-01-29,2026-01-29,,,,,,11.2242,125.5655,Matarinao Bay in Eastern Samar,,PHL-14,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pyrodinium bahamense Plate 1906 var. Bahamense,Pyrodinium bahamense Plate 1906 var. Bahamense,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14806,PHL-26-014,2026,PHILIPPINES,,Approved,,2026-03-11,,2026-02-26,2026-02-26,,,,,,11.2242,125.5655,"Mataranao Bay, Eastern Samar",,PHL-14,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pyrodinium bahamense var. compressum,Pyrodinium bahamense var. compressum,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14801,PHL-26-009,2026,PHILIPPINES,,Approved,,2026-03-11,,2026-02-13,2026-02-13,,,,,,11.2242,125.5655,Matarinao Bay Eastern Samar,,PHL-14,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pyrodinium bahamense var. compressum,Pyrodinium bahamense var. compressum,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14799,PHL-26-007,2026,PHILIPPINES,HANA,Approved,,2026-03-11,,2026-02-13,2026-02-13,,,,,,16.357,119.9323,"Bolinao & Anda Bay, Pangasinan",,PHL-1,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pseudo-nitzschia sp.,Pseudo-nitzschia sp.,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14802,PHL-26-010,2026,PHILIPPINES,,Approved,,2026-03-11,,2026-02-20,2026-02-20,,,,,,11.2242,125.5655,"Mataranao Bay, Eastern Samar",,PHL-14,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pyrodinium bahamense var. compressum,Pyrodinium bahamense var. compressum,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14800,PHL-26-008,2026,PHILIPPINES,,Approved,,2026-03-11,,2026-02-13,2026-02-13,,,,,,7.6021,123.0579,"Dumanquillas & Tantarang Bay, Zamboanga del sur",,PHL-18,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pyrodinium bahamense var. compressum,Pyrodinium bahamense var. compressum,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14803,PHL-26-011,2026,PHILIPPINES,,Approved,,2026-03-11,,2026-02-20,2026-02-20,,,,,,7.6021,123.0579,"Dumanquillas & Tantarang Bay, Zamboanga del Sur",,PHL-18,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pyrodinium bahamense var. compressum,Pyrodinium bahamense var. compressum,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14804,PHL-26-012,2026,PHILIPPINES,HANA,Approved,,2026-03-11,,2026-02-26,2026-02-26,,,,,,16.357,119.9323,"Bolinao & Anda Bay, Pangasinan",,PHL-1,,Yes,BFAR national red tide monitoring,No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Approximate range: > 60µg per 100g,NULL,,,Pseudo-nitzschia spp.,Pseudo-nitzschia spp.,,,PSP,,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"AZANZA, Rhodora; YNIGUEZ, Aletta"
14542,AU-25-001,2025,AUSTRALIA,Region 5 (ANZ),Submitted,gustaaf.hallegraeff@utas.edu.au,2025-03-27,2026-04-20,,2025-03-17,2026-04-20,,,,"lasting 13 months, and ongoing",-34.68,135.63,"AU-03, AU-13",,AU-03; AU-13,Similar problems were also reported from South Australia at Boatswain Point (21 March 2025) and Kangaroo Island (1 April 2025),No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Respiratory irritation by surfers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,11 mg PbTx-B2 /kg,Yes,"LC-MS/MS at Cawthron Institute ; BTX2,3,B5 (missing BTX1 analogues)",Very high ichthyotoxicity (but not caused by brevetoxins),Karenia cristata,"Karenia cristata [1000,000/L cells/L]",,,NSP; Aerosolized toxins effects,,mussels,PbTx-B2; PbTx-B3,11 mg BTX/kg,LC-MS,8.42,"mixed Karenia bloom, incl. K.mikimotoi, K.brevisulcata, K. longicanalis, K.papilionacea",following a very strong upwelling event,,,,,,,,,,No,No,"yellowish foam stretching for hundreds of meters along Waitpinga Beach, 15 km sw of Victoria Harbour",,,,"beachgoers and surfers reported coughing, cold and flu-like symptoms. Mass marine mortality of a broad range of 770 species including seadragons, sharks, fish, dolphins, octopus",,several beaches were closed;  shellfish industry closed,AUD 250 M  and increasing,"Numerous press releases, tv panels, senate inquiry etc. Murray SA et al. 2026. Nature Ecology & Evolution (in revision). bioRxiv. https://doi.org/10.1101/2025.10.31.685766",Hallegraeff Gustaaf 
14541,CO-25-001,2025,COLOMBIA,,Approved,,2025-03-25,2025-03-25,2025-03-20,2025-03-21,2025-03-24,Additional date-related information 01,2025-03-22,2025-03-23,Additional date-related information 01,1.0,1.0,TEST Area,,COL-01,Additional location information 01,Yes,Monitoring program 01,No,Event Occurred Before 01,No,No,No,No,No,No,Yes,TEST REGISTER - Delete when checking,No,No,No,No,No,No,Yes,No,No,Yes,Comments (affectations),,No,Toxicity Range 01,1,Unexplained toxicity,Transvectors (?),Acanthogonyaulax sp.; Acanthogonyaulax spinifera (Murray et Whitting) Graham 1942,Acanthogonyaulax sp. [123456 cells/L] (Comments Concentration 01); Acanthogonyaulax spinifera (Murray et Whitting) Graham 1942 [654321 cells/L] (Comments Concentration 02),Acanthogonyaulax spp.; Acanthoica acanthifera Lohmann sensu Kampter 1941,Acanthogonyaulax spp. [678 cells/L] (Comments Co-occurring 01); Acanthoica acanthifera Lohmann sensu Kampter 1941 [876 cells/L] (Comments Co-occurring 02),ASP; CFP (Ciguatera Fish Poisoning); DSP; NSP; OTHER; PSP; AZP; Cyanobacterial toxins effects; Aerosolized toxins effects,,Acanthoica; Amoeba,GYM; Pinnatoxin A,666; 667,Bioassay-Mouse; Bioassay-Rat,,,Weather:,E  ,31,25,30,28,29,27,26,32,Yes,No,Advected comments,1,,Additional Environmental information,Additional harmful effect information,Additional bloom information 01,TEST ENTRY: Consultancy No. 4500528664 for IOCARIBE to assess the functioning of the database. Please delete when checking.,Economic losses,Event-related bibliography 01,"Mancera, Jose Ernesto"
14629,PF-25-014,2025,FRENCH POLYNESIA,,Approved,,2025-06-10,,2025-03-01,,,,,,,-24.15,-149.06,RAPA,,PF-AUST,,Yes,CFP monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,Seriola lalandi,,,,,CFP (Ciguatera Fish Poisoning),,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
14625,PF-25-010,2025,FRENCH POLYNESIA,,Approved,,2025-06-10,,2025-02-25,,,,,,,-9.276,-139.746,FATU HIVA,,PF-MARQ,,Yes,CPF monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,Scaridae,,,,,CFP (Ciguatera Fish Poisoning),,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
14348,PF-25-003,2025,FRENCH POLYNESIA,,Approved,,2025-02-17,,2025-01-19,,,,,,,-23.158,-134.942,MANGAREVA,,PF-GAMB,,Yes,CFP monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,Serranidae,,,,,CFP (Ciguatera Fish Poisoning),,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
14349,PF-25-004,2025,FRENCH POLYNESIA,,Approved,,2025-02-17,,2025-01-29,,,,,,,-16.994,-142.251,ARUTUA,,PF-TUAM,,Yes,CFP monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,Balistidae,,,,,CFP (Ciguatera Fish Poisoning),,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
14652,PF-25-037,2025,FRENCH POLYNESIA,,Approved,,2025-06-10,,2025-05-04,,,,,,,-23.158,-134.942,MANGAREVA,,PF-GAMB,,Yes,CFP monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,Scaridae and Acanthuridae,,,,,CFP (Ciguatera Fish Poisoning),,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
14651,PF-25-036,2025,FRENCH POLYNESIA,,Approved,,2025-06-10,,2025-05-02,,,,,,,-24.15,-149.06,RAIVAVAE,,PF-AUST,,Yes,CFP monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,Epinephelus polyphekadion,,,,,CFP (Ciguatera Fish Poisoning),,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
14649,PF-25-034,2025,FRENCH POLYNESIA,,Approved,,2025-06-10,,2025-05-01,,,,,,,-16.994,-142.251,,,PF-TUAM,,Yes,CFP monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,unknown,,,,,CFP (Ciguatera Fish Poisoning),,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
14648,PF-25-033,2025,FRENCH POLYNESIA,,Approved,,2025-06-10,,2025-04-29,,,,,,,-9.276,-139.746,UA HUKA,,PF-MARQ,,Yes,CFP monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,Lutjanus gibbus,,,,,CFP (Ciguatera Fish Poisoning),,,STX eq,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
14647,PF-25-032,2025,FRENCH POLYNESIA,,Approved,,2025-06-10,,2025-04-26,,,,,,,-9.276,-139.746,NUKU HIVA,,PF-MARQ,,Yes,CFP monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,unknown,,,,,CFP (Ciguatera Fish Poisoning),,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
14646,PF-25-031,2025,FRENCH POLYNESIA,,Approved,,2025-06-10,,2025-04-25,,,,,,,-24.15,-149.06,RURUTU,,PF-AUST,,No,CFP monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,Caranx ignobilis,,,,,CFP (Ciguatera Fish Poisoning),,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
14645,PF-25-030,2025,FRENCH POLYNESIA,,Approved,,2025-06-10,,2025-04-20,,,,,,,-23.158,-134.942,MANGAREVA,,PF-GAMB,,Yes,CFP monitoring programme of French Polynesia,No,,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,NULL,,Mullidae,,,,,CFP (Ciguatera Fish Poisoning),,,,,,,,,   ,,,,,,,,,No,No,,NULL,,,,,,,,"GATTI, Clémence"
